"first_h2","h1","pageTitle","random_text_from_the_page","url"
"52,419","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_FAQ_General9"
"","Daniel Yap","Daniel Yap's Profile - Sedunia
","","https://www.sedunia.me/users/daniel-yap"
"49,831","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_FAQ_General10"
"","Liew Sow Ying","Liew Sow Ying's Profile - Sedunia
","","https://www.sedunia.me/users/liew-sow-ying"
"49,697","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_FAQ_Sponsors0"
"","Samantha Khu","Samantha Khu's Profile - Sedunia
","","https://www.sedunia.me/users/samantha-khu"
"","YuYu Tung","YuYu Tung's Profile - Sedunia
","","https://www.sedunia.me/users/yuyu-tung"
"","Jonathan W","Jonathan W's Profile - Sedunia
","","https://www.sedunia.me/users/jonathan-w"
"","Ryan Khoo","Ryan Khoo's Profile - Sedunia
","","https://www.sedunia.me/users/ryan-khoo"
"","Steve Ho","Steve Ho's Profile - Sedunia
","","https://www.sedunia.me/users/steve-ho"
"","Joyce Rajendran","Joyce Rajendran's Profile - Sedunia
","","https://www.sedunia.me/users/jsraj"
"19,673","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#get-started"
"","Syazna Zulhasnan","Syazna Zulhasnan's Profile - Sedunia
","","https://www.sedunia.me/users/syazna-zulhasnan"
"47,506","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#community-list"
"","Rebecca ","Rebecca 's Profile - Sedunia
","","https://www.sedunia.me/users/rebecca-2"
"","Rebecca ","Rebecca 's Profile - Sedunia
","","https://www.sedunia.me/campaigns/covid-19-emergency-funds/sponsor"
"","Siew San Wong","Siew San Wong's Profile - Sedunia
","","https://www.sedunia.me/users/siew-san-wong"
"","Chris ","Chris 's Profile - Sedunia
","","https://www.sedunia.me/users/chris-r"
"","","Sedunia
","Don't have an account yet?Sign up now","https://www.sedunia.me/campaigns/covid-19-collective-for-orang-asli-fund/support"
"47,518","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_0"
"","JIA CHEN chua","JIA CHEN chua's Profile - Sedunia
","","https://www.sedunia.me/users/jia-chen-chua"
"47,995","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_1"
"","Cathrine Leong","Cathrine Leong's Profile - Sedunia
","","https://www.sedunia.me/users/cathrine-leong"
"","Gan keem Chong","Gan keem Chong's Profile - Sedunia
","","https://www.sedunia.me/users/gan-keem-chong"
"31,188","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_2"
"","","We are 3 girls we want to help you - Sedunia Match
","6 months ago","https://www.sedunia.me/match/posts/1098/we-are-3-girls-we-want-to-help-you"
"","","Sponsors - COLLECTIVE FOR ORANG ASLI FUND - Fundraising Campaigns - Sedunia
","Impact made easy.","https://www.sedunia.me/campaigns/covid-19-collective-for-orang-asli-fund/manage/sponsors"
"50,118","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_FAQ_NGOs0"
"","","No-Cost Healing: Professional Therapy for Those Who Need It - Sedunia Match
","8 months ago","https://www.sedunia.me/match/posts/1095/no-cost-healing-professional-therapy-for-those-who-need-it"
"49,391","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_FAQ_NGOs1"
"","","Improve your digital technology  - Sedunia Match
","2 years ago","https://www.sedunia.me/match/posts/1087/improve-your-digital-technology"
"","Food for Perkampungan Orang Asli - Pos Tenau","Food for Perkampungan Orang Asli - Pos Tenau - Fundraising Campaigns - Sedunia
","for COLLECTIVE FOR ORANG ASLI FUND    BOOST","https://www.sedunia.me/campaigns/rice-for-perkampungan-orang-asli-pos-tenau"
"48,168","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_FAQ_NGOs2"
"47,199","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_FAQ_NGOs3"
"","COLLECTIVE FOR ORANG ASLI FUND","COLLECTIVE FOR ORANG ASLI FUND - Fundraising Campaigns - Sedunia
","To ensure that no Orang Asli families are left behind this Covid-19 MCO
				","https://www.sedunia.me/campaigns/covid-19-collective-for-orang-asli-fund"
"47,340","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_FAQ_General0"
"","Ramesh Arumugam Chettiar","Ramesh Arumugam Chettiar's Profile - Sedunia
","","https://www.sedunia.me/users/ramesh-arumugam-chettiar"
"Step 1: Donate a RM100 food pack","Emergency Food Aid for 1208 affected OA families in Hulu Selangor","Emergency Food Aid for 1208 affected OA families in Hulu Selangor - Fundraising Campaigns - Sedunia
","for COLLECTIVE FOR ORANG ASLI FUND    BOOST","https://www.sedunia.me/campaigns/help-provide-food-for-hulu-selangor-orang-asli"
"48,962","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_FAQ_General1"
"","Celebrate Our Union by Supporting Orang Asli Families","Celebrate Our Union by Supporting Orang Asli Families - Fundraising Campaigns - Sedunia
","for COLLECTIVE FOR ORANG ASLI FUND    BOOST","https://www.sedunia.me/campaigns/celebrate-our-union-by-supporting-orang-asli-families"
"47,670","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_FAQ_General2"
"","Siew L","Siew L's Profile - Sedunia
","","https://www.sedunia.me/users/s-l-koo"
"","Let's support Orang Asli families affected by the MCO in Malaysia","Let's support Orang Asli families affected by the MCO in Malaysia - Fundraising Campaigns - Sedunia
","for COLLECTIVE FOR ORANG ASLI FUND    BOOST","https://www.sedunia.me/campaigns/let-s-support-orang-asli-families-affected-by-the-mco-in-malaysia"
"","Nicole Lim","Nicole Lim's Profile - Sedunia
","","https://www.sedunia.me/users/nicole-lim-1"
""," The Rice Bowl Project"," The Rice Bowl Project - Fundraising Campaigns - Sedunia
","for COLLECTIVE FOR ORANG ASLI FUND    BOOST","https://www.sedunia.me/campaigns/the-rice-bowl-project"
"","thericebowlproject ","thericebowlproject 's Profile - Sedunia
","","https://www.sedunia.me/users/thericebowlproject"
"30,293","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_learnMore0"
"47,340","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_learnMore1"
"49,265","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_learnMore2"
"47,043","COVID-19 Collectivefor Orang Asli","COVID-19 Collective for Orang Asli - Sedunia
","Orang Asli families helped","https://www.sedunia.me/oa-collective#accordion_collapse_learnMore3"
"","Support the team behind ""COVID-19 Collective for Orang Asli""","Support the team behind ""COVID-19 Collective for Orang Asli"" - Fundraising Campaigns - Sedunia
","Your support enables our team to continue mobilizing food supplies for Orang Asli families
				","https://www.sedunia.me/campaigns/support-the-team-behind-covid-19-collective-for-orang-asli"
"","Pei Qin Tan","Pei Qin Tan's Profile - Sedunia
","","https://www.sedunia.me/users/pei-qin-tan"
"",""," - Fundraising Campaigns - Sedunia
","No campaign excerpt yet.
				","https://www.sedunia.me/campaigns/urban-farm-for-charity-homes"
"","Sayur In The City: For Kids & Youths","Sayur In The City: For Kids & Youths - Fundraising Campaigns - Sedunia
","Get kids to know and grow our local vegetables
				","https://www.sedunia.me/campaigns/sayur-in-the-city"
"","Shao-Lyn Low","Shao-Lyn Low's Profile - Sedunia
","","https://www.sedunia.me/users/eatsshootsandroots"
"","Help Us Upskill At-Risk Youths! ","Help Us Upskill At-Risk Youths!  - Fundraising Campaigns - Sedunia
","Raising funds to upskill at-risk youths, helping them become micro-entrepreneurs! 
				","https://www.sedunia.me/campaigns/help-us-up-skill-at-risk-youths"
"","Accelerate Global","Accelerate Global - Groups - Sedunia
","6 followers  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/accelerateglobal"
"","Kita Bantu Anak Malaysia - an initiative from Speak Up AIESEC in UPM","Kita Bantu Anak Malaysia - an initiative from Speak Up AIESEC in UPM - Fundraising Campaigns - Sedunia
","We help provide laptops to B40 students to ease their virtual educational journey.
				","https://www.sedunia.me/campaigns/speak-up-laptop-donation-campaign"
"How it works","Social Impact Matching (SIM) Grant","Penjana Sim Grant - Sedunia
","A  Initiative","https://www.sedunia.me/penjana-sim-grant#get-started"
"How it works","Social Impact Matching (SIM) Grant","Penjana Sim Grant - Sedunia
","A  Initiative","https://www.sedunia.me/penjana-sim-grant#accordion_collapse_learnMore0"
"","AIESEC in Universiti Putra Malaysia","AIESEC in Universiti Putra Malaysia's Profile - Sedunia
","","https://www.sedunia.me/users/raadhika-arunasalam"
"","Nadine ","Nadine 's Profile - Sedunia
","","https://www.sedunia.me/users/nadine-1"
"","Ensuring B40 Students Have Laptops to E-Learn ","Ensuring B40 Students Have Laptops to E-Learn  - Fundraising Campaigns - Sedunia
","We intend to secure laptops for students, both by way of fundraising and by selling merchandise. 
				","https://www.sedunia.me/campaigns/we-connect-b40-students-with-the-digital-resources"
"How it works","Social Impact Matching (SIM) Grant","Penjana Sim Grant - Sedunia
","A  Initiative","https://www.sedunia.me/penjana-sim-grant#accordion_collapse_learnMore1"
"","Inspire The Angel","Inspire The Angel - Fundraising Campaigns - Sedunia
","We provide a social interaction platform to help those with special needs.
				","https://www.sedunia.me/campaigns/inspire-the-angel-2"
"How it works","Social Impact Matching (SIM) Grant","Penjana Sim Grant - Sedunia
","A  Initiative","https://www.sedunia.me/penjana-sim-grant#accordion_collapse_learnMore2"
"","Tutoring SPM students.","Tutoring SPM students. - Fundraising Campaigns - Sedunia
","for Bersama-sama Project    BOOST","https://www.sedunia.me/campaigns/tutoring-spm-students"
"How it works","Social Impact Matching (SIM) Grant","Penjana Sim Grant - Sedunia
","A  Initiative","https://www.sedunia.me/penjana-sim-grant#accordion_collapse_learnMore3"
"How it works","Social Impact Matching (SIM) Grant","Penjana Sim Grant - Sedunia
","A  Initiative","https://www.sedunia.me/penjana-sim-grant#accordion_collapse_learnMore4"
"","Bersama-sama Project","Bersama-sama Project - Fundraising Campaigns - Sedunia
","The Bersama-sama Project aims to help underprivileged children during the Covid-19 pandemic crisis.
				","https://www.sedunia.me/campaigns/bersama-sama-project-1"
"How it works","Social Impact Matching (SIM) Grant","Penjana Sim Grant - Sedunia
","A  Initiative","https://www.sedunia.me/penjana-sim-grant#accordion_collapse_learnMore5"
"","Kah Vern Chiang","Kah Vern Chiang's Profile - Sedunia
","","https://www.sedunia.me/users/kah-vern-chiang"
"","Build Community Self-Feeders for Strays with Stray Tales Society","Build Community Self-Feeders for Strays with Stray Tales Society - Fundraising Campaigns - Sedunia
","Change the tales of strays by supporting us with Community Self-Feeders!
				 Animals & Wildlife","https://www.sedunia.me/campaigns/a-self-feeding-haven-changing-tales-for-rescues"
"","Precious Plastic by KITARAN","Precious Plastic by KITARAN - Fundraising Campaigns - Sedunia
","Help us turn Used Plastic Waste into Recycled Plastic Pots
				","https://www.sedunia.me/campaigns/precious-plastic-by-kitaran"
"","Bantu Hero Kami: Fundraising for Hospital Equipment","Bantu Hero Kami: Fundraising for Hospital Equipment - Fundraising Campaigns - Sedunia
","Fundraising for Intensive Care Unit (ICU) and specialized equipment to hospitals fighting Covid-19
				 Health & Wellbeing","https://www.sedunia.me/campaigns/bantu-hero-kami-help-our-heroes-fundraising-for-hospital-equipment"
"","Aleeza Zaki","Aleeza Zaki's Profile - Sedunia
","","https://www.sedunia.me/users/aleeza-zaki"
"","Stray Tales Society","Stray Tales Society's Profile - Sedunia
","","https://www.sedunia.me/users/straytalessociety"
"","Kampung Tunku","Kampung Tunku's Profile - Sedunia
","","https://www.sedunia.me/users/LimYiWei.MY"
"",""," - Fundraising Campaigns - Sedunia
","No campaign excerpt yet.
				","https://www.sedunia.me/campaigns/300sqft-urban-farm-in-charity-homes"
"","Distribute Malaysia","Distribute Malaysia - Fundraising Campaigns - Sedunia
","Sending staple food and cooked meals to targeted ‘White Flag’ families
				 Emergency & Disaster Relief Food & Nutrition Poverty Alleviation Health & Wellbeing","https://www.sedunia.me/campaigns/distribute-malaysia"
"","Educate to Elevate: A Brighter Future for Orang Asli Students","Educate to Elevate: A Brighter Future for Orang Asli Students - Fundraising Campaigns - Sedunia
","Support Tutoring Classes and Orang Asli Teachers' Allowance in Kg. Orang Asli Serendah
				 Education","https://www.sedunia.me/campaigns/teachers-allowance"
"","Hero Charity","Hero Charity's Profile - Sedunia
","","https://www.sedunia.me/users/william-ng"
"","Syakira Kamal","Syakira Kamal's Profile - Sedunia
","","https://www.sedunia.me/users/syakira-kamal"
"","Distribute Malaysia","Distribute Malaysia's Profile - Sedunia
","","https://www.sedunia.me/users/distributemy"
"","Mental Health Accessibility for All","Mental Health Accessibility for All - Fundraising Campaigns - Sedunia
","To enhance our one stop web application and initiatives for affordable and accessible mental health 
				","https://www.sedunia.me/campaigns/you-can-help-make-mental-health-services-in-malaysia-more-accessible"
"","Fundraising for a better tomorrow","Fundraising for a better tomorrow - Fundraising Campaigns - Sedunia
","This campaign is started by 5 future biologist from Universiti Sains Malaysia to raise awareness. 
				 Animals & Wildlife Education Environment & Climate","https://www.sedunia.me/campaigns/fundraising-for-a-better-tomorrow"
"","PROJECT KEEP WILDLIFE WILD ","PROJECT KEEP WILDLIFE WILD  - Fundraising Campaigns - Sedunia
","Support our work to create a safer environment for people and urban primates
				 Animals & Wildlife Environment & Climate Partnerships Others","https://www.sedunia.me/campaigns/project-keep-wildlife-wild-1"
"","Be With Refugees","Be With Refugees - Fundraising Campaigns - Sedunia
","A powerful way to motivate and appreciate our refugee children's effort.
				
									Justice & Equality
									Education
									Children & Youth
							","https://www.sedunia.me/campaigns/be-with-refugees-4"
"","Sharmini Paramasivam","Sharmini Paramasivam's Profile - Sedunia
","","https://www.sedunia.me/users/animalneighbours"
"","Shook Yin Foong","Shook Yin Foong's Profile - Sedunia
","","https://www.sedunia.me/users/shook-yin-foong"
"","Zu Wei Tan","Zu Wei Tan's Profile - Sedunia
","","https://www.sedunia.me/users/zu-wei-tan"
"","Mentalogue Enterprise","Mentalogue Enterprise's Profile - Sedunia
","","https://www.sedunia.me/users/tedd-denis-1"
"","#FundraiseForDigital3.0","#FundraiseForDigital3.0 - Fundraising Campaigns - Sedunia
","We‘re raising funds to refurbish used laptops for the deserving students from the B40 community!
				 Education Information Technology","https://www.sedunia.me/campaigns/fundraisefordigital3-0"
"What is Projek Pelita 2021?","Projek Pelita 2021","Projek Pelita 2021 - Fundraising Campaigns - Sedunia
","In times of adversity, we shed light on the Rakyat | #RakyatJagaRakyat #MSLSXV
				 Health & Wellbeing Poverty Alleviation Emergency & Disaster Relief Women & Girls Food & Nutrition","https://www.sedunia.me/campaigns/projek-pelita-2021"
"","Farm To Table for B40","Farm To Table for B40 - Fundraising Campaigns - Sedunia
","Food security & health for the B40, a watermelon & a dental kit, at a time
				","https://www.sedunia.me/campaigns/buy-one-give-one-watermelon"
"","Save the Endangered Terrapins, Start with You ","Save the Endangered Terrapins, Start with You  - Fundraising Campaigns - Sedunia
","Donate to fund the conservation and research of critically endangered river terrapins
				 Animals & Wildlife Environment & Climate","https://www.sedunia.me/campaigns/save-the-endangered-terrapins-start-with-you"
"Nation's Interest At Heart","UKEC","UKEC - Groups - Sedunia
","0 followers  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/ukeconline"
"","San Sann","San Sann's Profile - Sedunia
","","https://www.sedunia.me/users/san-sann"
"A social enterprise that focuses on food security, health, and the environment","Abundant Ventures Sdn Bhd","Abundant Ventures Sdn Bhd - Groups - Sedunia
","5 followers  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/abundantventures"
"","Connect.  ED","Connect.  ED's Profile - Sedunia
","","https://www.sedunia.me/users/connected-my"
"","Sponsor-A-Child (SAC) Project","Sponsor-A-Child (SAC) Project - Fundraising Campaigns - Sedunia
","Sponsor the education of refugee children with financial difficulties
				","https://www.sedunia.me/campaigns/sponsor-a-child-sac-project"
"","Empower 15 Refugees to Rebuild Their Lives as Home Chefs","Empower 15 Refugees to Rebuild Their Lives as Home Chefs - Fundraising Campaigns - Sedunia
","Enable 15 refugees to become certified home chefs and earn a sustainable income
				","https://www.sedunia.me/campaigns/picha-chef-training"
"","The Hope Branch : Kapar, Klang Refurbishment Project ","The Hope Branch : Kapar, Klang Refurbishment Project  - Fundraising Campaigns - Sedunia
","Cleaning up and refurbishing homes of families living in deplorable conditions in Kapar
				 Housing & Infrastructure Water & Sanitation Health & Wellbeing Poverty Alleviation Children & Youth","https://www.sedunia.me/campaigns/thb-refurbishment-project-food-drive-monthly-essential-groceries-distribution"
"","Free One-on-One Tutoring for B40 SPM Students","Free One-on-One Tutoring for B40 SPM Students - Fundraising Campaigns - Sedunia
","We aim to overcome learning loss and inequalities faced by students due to COVID-19 school closures.
				 Education Children & Youth Poverty Alleviation Information Technology","https://www.sedunia.me/campaigns/free-one-on-one-tutoring-for-b40-spm-students"
"Sowing Seeds of Change to Refugee Communities Through Education","Hands of Hope Malaysia","Hands of Hope Malaysia - Groups - Sedunia
","{{ followerCountText }}  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/handsofhopemy"
"","The Hope Branch","The Hope Branch - Groups - Sedunia
","2 followers  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/thehopebranch"
"Meals that rebuild lives","PichaEats","PichaEats - Groups - Sedunia
","2 followers  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/pichaeats"
"Fighting learning loss in Malaysia ","Rakan Tutor","Rakan Tutor - Groups - Sedunia
","0 followers  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/rakan-tutor-1"
"","In order to help provide economic necessities to SLE Community ","In order to help provide economic necessities to SLE Community  - Fundraising Campaigns - Sedunia
","for Wings of Hope Campaign    BOOST","https://www.sedunia.me/campaigns/raise-a-funding-from-people-around-me"
"","Blooming Hope: Keeping Lukut Kids School-Ready During A Pandemic","Blooming Hope: Keeping Lukut Kids School-Ready During A Pandemic - Fundraising Campaigns - Sedunia
","Provide the essential items needed by the school children to embrace the day-to-day remote learning.
				 Education Justice & Equality Health & Wellbeing","https://www.sedunia.me/campaigns/keeping-port-dickson-kids-in-school-during-the-pandemic"
"","Empower the poor through the art of barbering","Empower the poor through the art of barbering - Fundraising Campaigns - Sedunia
","Empower the underprivileged youth with barbering skill to break free from poverty
				","https://www.sedunia.me/campaigns/empower-the-poor-the-art-of-barbering"
"","FREE e-Learning Platform for the Disempowered to Learn , Heal and Rebuild Life.","FREE e-Learning Platform for the Disempowered to Learn , Heal and Rebuild Life. - Fundraising Campaigns - Sedunia
","To create E-Learning Portal for victims of Domestic Violence to Learn, Heal & rebuild at own pace 
				","https://www.sedunia.me/campaigns/free-e-learning-platform-for-the-disempowered-to-learn-heal-and-rebuild-life"
"","Am Muhammad","Am Muhammad's Profile - Sedunia
","","https://www.sedunia.me/users/seminggubysf"
"","Impian OKU - to build & develop OKU Creativity & Excellence Training Center","Impian OKU - to build & develop OKU Creativity & Excellence Training Center - Fundraising Campaigns - Sedunia
","To develop & empowering OKU to be more stronger, independent & more confident in being competitive 
				","https://www.sedunia.me/campaigns/impian-oku-to-build-develop-oku-excellence-training-center"
"","Lex Low","Lex Low's Profile - Sedunia
","","https://www.sedunia.me/users/lex-low-1"
"","Wings of Hope Campaign","Wings of Hope Campaign - Fundraising Campaigns - Sedunia
","We bring wings of hope for the purple butterflies! 
				 Health & Wellbeing","https://www.sedunia.me/campaigns/wings-of-hope-fundraising-campaign"
"","Shila  Diva Cosmetics ","Shila  Diva Cosmetics 's Profile - Sedunia
","","https://www.sedunia.me/users/shila-diva-cosmetics"
"","#FundraiseForDigital: Raise Funds for B40 Students to E-Learn","#FundraiseForDigital: Raise Funds for B40 Students to E-Learn - Fundraising Campaigns - Sedunia
","We‘re raising funds to refurbish used laptops for the deserving students from the B40 community!
				 Education Children & Youth Information Technology","https://www.sedunia.me/campaigns/raise-funds-for-b40-students-to-e-learn"
"","Reusable Mask For 558 Orang Asli in Pulau Carey","Reusable Mask For 558 Orang Asli in Pulau Carey - Fundraising Campaigns - Sedunia
","Help the Mah Meri community protect themselves and save money in the long run.
				","https://www.sedunia.me/campaigns/558-reusable-mask-for-orang-asli-in-pulau-carey"
"","Lin XINYI","Lin XINYI's Profile - Sedunia
","","https://www.sedunia.me/users/lin-suzy"
"Empowering Orang Asli women ","The Asli Co.","The Asli Co. - Groups - Sedunia
","24 followers  |  1 missions  |   3 mission hours","https://www.sedunia.me/groups/theaslico"
"","Help Feed Hungry Families And Children In Rural Sabah (Underprivileged Villages)","Help Feed Hungry Families And Children In Rural Sabah (Underprivileged Villages) - Fundraising Campaigns - Sedunia
","Together We Can Provide Rural Families With Fresh Food Aid During To Survive The Covid-19 Pandemic
				 Health & Wellbeing Food & Nutrition Poverty Alleviation Women & Girls Emergency & Disaster Relief","https://www.sedunia.me/campaigns/help-feed-hungry-families-and-children-in-rural-sabah-orang-asli"
"","Digital Entrepreneurship Mentoring Programme for B40 Youth","Digital Entrepreneurship Mentoring Programme for B40 Youth - Fundraising Campaigns - Sedunia
","Empowering B40 youth to become resilient digital entrepreneurs through mentorship!
				 Poverty Alleviation Children & Youth","https://www.sedunia.me/campaigns/running-a-mentorship-1"
"","Self compassionate yarn crafts movement for breast cancer ","Self compassionate yarn crafts movement for breast cancer  - Fundraising Campaigns - Sedunia
","Fundraising for seed money to kickstart a social enterprise idea for breast cancer patients
				 Health & Wellbeing Women & Girls Education Arts & Culture","https://www.sedunia.me/campaigns/self-compassionate-yarn-crafts-movement-for-breast-cancer"
"","Aaron B","Aaron B's Profile - Sedunia
","","https://www.sedunia.me/users/aaron-b"
"","Future Laboratory","Future Laboratory's Profile - Sedunia
","","https://www.sedunia.me/users/future-laboratory"
"","Creating income for single mothers  ","Creating income for single mothers   - Fundraising Campaigns - Sedunia
","Fundraising For Single Mother Community Tailoring Center
				","https://www.sedunia.me/campaigns/raising-fund-to-open-community-tailoring-center"
"","Mei Theng Ng","Mei Theng Ng's Profile - Sedunia
","","https://www.sedunia.me/users/ngmeitheng"
"","Investing into B40 Women Entrepreneurs","Investing into B40 Women Entrepreneurs - Fundraising Campaigns - Sedunia
","Help mak ciks start their gerai makan business (They've been waiting for months to start!)
				","https://www.sedunia.me/campaigns/investing-into-b40-women-entrepreneurs"
"","Tharani  Periasamy","Tharani  Periasamy's Profile - Sedunia
","","https://www.sedunia.me/users/tailoring-manitoba"
"","Restore Gaza School Destroyed By Airstrike","Restore Gaza School Destroyed By Airstrike - Fundraising Campaigns - Sedunia
","No act of kindness, no matter how small, is ever wasted
				 Education","https://www.sedunia.me/campaigns/restore-gaza-school-destroyed-by-airstrike-1"
"","#FundraiseForDigital2.0","#FundraiseForDigital2.0 - Fundraising Campaigns - Sedunia
","We‘re raising funds to refurbish used laptops for the deserving students from the B40 community!
				 Education Children & Youth Information Technology Environment & Climate","https://www.sedunia.me/campaigns/fundraisefordigital"
"","#RAR4R : Creating a Batterer Intervention Programme to reduce Domestic Violence ","#RAR4R : Creating a Batterer Intervention Programme to reduce Domestic Violence  - Fundraising Campaigns - Sedunia
","Preventing Domestic Violence in Malaysia Through Abuser Rehabilitation Programs 
				 Women & Girls Justice & Equality","https://www.sedunia.me/campaigns/rar4r-creating-a-batterer-intervention-programme-to-reduce-domestic-violence"
"","Graze Market","Graze Market's Profile - Sedunia
","","https://www.sedunia.me/users/grazemarket"
"","Wanita Inspirasi Negara WIN","Wanita Inspirasi Negara WIN's Profile - Sedunia
","","https://www.sedunia.me/users/wanita-inspirasi-negara-win"
"","Care For Gold","Care For Gold - Fundraising Campaigns - Sedunia
","Our society needs people who truly care about the elderlies and disabled, hence here we are to help.
				","https://www.sedunia.me/campaigns/care-for-gold"
"Empowering Women in a Digital Village Anyone, Anytime, Anywhere. ","Moms Village Venture","Moms Village Venture - Groups - Sedunia
","2 followers  |  0 missions  |   0 mission hours","https://www.sedunia.me/groups/moms-village-asia"
"","Sponsor-A-Child Project","Sponsor-A-Child Project - Fundraising Campaigns - Sedunia
","Sponsor the education of refugee children with financial difficulties 
				","https://www.sedunia.me/campaigns/sponsor-a-child-project"
"","Joanna Yap","Joanna Yap's Profile - Sedunia
","","https://www.sedunia.me/users/joanna-yap"
"Who Are We?","Projek Didik Tuition Campaign #SaveSPM2021","Projek Didik Tuition Campaign #SaveSPM2021 - Fundraising Campaigns - Sedunia
","Donate now to fund our classes up till March 2022 for the SPM 2021 batch!
				 Education Children & Youth","https://www.sedunia.me/campaigns/projek-didik"
"","Hands for Education","Hands for Education's Profile - Sedunia
","","https://www.sedunia.me/users/ayra-raslan-haniff"
"","Terrapin Heroes Fundraising (T3)","Terrapin Heroes Fundraising (T3) - Fundraising Campaigns - Sedunia
","We are a group of teenage heroes wanting to save the world and restore balance in the ecosystem .
				","https://www.sedunia.me/campaigns/terrapin-heroes-fundraising-t3-1"
"","Zero Waste Fundraise","Zero Waste Fundraise - Fundraising Campaigns - Sedunia
","Let's work together to reduce waste in Malaysia and help needy communities!
				","https://www.sedunia.me/campaigns/zero-waste-fundraise"
"","Equipping B40 students with electronic devices for online learning","Equipping B40 students with electronic devices for online learning - Fundraising Campaigns - Sedunia
","Providing students with better study equipment and experience
				 Education Children & Youth Information Technology Others Justice & Equality","https://www.sedunia.me/campaigns/equipping-b40-students-with-electronic-devices"
"","Terrapin Heroes","Terrapin Heroes's Profile - Sedunia
","","https://www.sedunia.me/users/terrapin-heroes"
"","Educate Our Youths for the Future","Educate Our Youths for the Future - Fundraising Campaigns - Sedunia
","Engage, Empower and Encourage The Youth As The Leader of Tomorrow. 
				 Children & Youth Education","https://www.sedunia.me/campaigns/nylc-crowdfunding-campaign"
"","Shu Xin Ho","Shu Xin Ho's Profile - Sedunia
","","https://www.sedunia.me/users/shu-xin-ho"
"","Digital Education Access for the Orang Asli Students of Kampung Kemidak, Johor","Digital Education Access for the Orang Asli Students of Kampung Kemidak, Johor - Fundraising Campaigns - Sedunia
","Purchasing digital devices, data packages and educational utilities for the ""Pondok Pembelajaran""
				 Education Poverty Alleviation Children & Youth Information Technology Housing & Infrastructure","https://www.sedunia.me/campaigns/enabling-digital-education-for-orang-asli-students-in-kampung-kemidak-johor"
"","Teo Jing Yi","Teo Jing Yi's Profile - Sedunia
","","https://www.sedunia.me/users/teo-jing-yi"
